wijknaam, wijknummer, buurtnaam
Charlois,71,Tarwewijk
Charlois,72,Carnisse
Charlois,73,Zuidwijk
Charlois,74,Oud-Charlois
Charlois,75,Wielewaal
Charlois,76,Zuidplein
Charlois,77,Pendrecht
Charlois,78,Zuiderpark
Charlois,93,Heijplaat
Charlois,4009,Charlois
Delfshaven,20,Delfshaven
Delfshaven,21,Bospolder
Delfshaven,22,Tussendijken
Delfshaven,23,Spangen
Delfshaven,24,Nieuwe Westen
Delfshaven,25,Middelland
Delfshaven,29,Schiemond
Delfshaven,3004,OudMathenesse/Witte Dorp
Delfshaven,4001,Delfshaven
Feijenoord,17,Kop van Zuid
Feijenoord,79,Kop van Zuid-Entrepot
Feijenoord,80,Vreewijk
Feijenoord,81,Bloemhof
Feijenoord,82,Hillesluis
Feijenoord,85,Katendrecht
Feijenoord,86,Afrikaanderwijk
Feijenoord,87,Feijenoord
Feijenoord,88,Noordereiland
Feijenoord,4007,Feijenoord
Hillegersberg-Schiebroek,60,Schiebroek
Hillegersberg-Schiebroek,61,Hillegersberg-zuid
Hillegersberg-Schiebroek,62,Hillegersberg-noord
Hillegersberg-Schiebroek,64,Terbregge
Hillegersberg-Schiebroek,65,Molenlaankwartier
Hillegersberg-Schiebroek,4004,Hillegersberg-Schiebroek
Hoek van Holland,1,Strand en duin
Hoek van Holland,3001,Dorp/Rijnpoort
Hoek van Holland,4012,Hoek van Holland
Hoogvliet,92,Hoogvliet-noord
Hoogvliet,99,Hoogvliet-zuid
Hoogvliet,4011,Hoogvliet
IJsselmonde,83,Oud IJsselmonde
IJsselmonde,84,Lombardijen
IJsselmonde,90,Beverwaard
IJsselmonde,1009,Groot IJsselmonde-Noord
IJsselmonde,1010,Groot IJsselmonde-Zuid
IJsselmonde,4008,IJsselmonde
Kralingen-Crooswijk,14,Rubroek
Kralingen-Crooswijk,36,Nieuw Crooswijk
Kralingen-Crooswijk,37,Oud Crooswijk
Kralingen-Crooswijk,41,Kralingen-west
Kralingen-Crooswijk,45,De Esch
Kralingen-Crooswijk,47,Struisenburg
Kralingen-Crooswijk,3005,Kralingen Oost/Kralingse Bos
Kralingen-Crooswijk,4005,Kralingen-Crooswijk
Noord,15,Agniesebuurt
Noord,16,Provenierswijk
Noord,31,Bergpolder
Noord,34,Liskwartier
Noord,35,Oude Noorden
Noord,3011,Blijdorp/Blijdorpsepolder
Noord,4003,Noord
Overschie,51,Kleinpolder
Overschie,56,Overschie
Overschie,3006,NoordKethel
Overschie,4002,Overschie
Pernis,91,Pernis
Pernis,4010,Pernis
Prins Alexander,44,s-Gravenland
Prins Alexander,46,Kralingseveer
Prins Alexander,48,Prinsenland
Prins Alexander,49,Het Lage Land
Prins Alexander,63,Ommoord
Prins Alexander,66,Zevenkamp
Prins Alexander,67,Oosterflank
Prins Alexander,68,Nesselande
Prins Alexander,4006,Prins Alexander
Rotterdam Centrum,10,Stadsdriehoek
Rotterdam Centrum,11,Oude Westen
Rotterdam Centrum,12,Cool
Rotterdam Centrum,13,CS-kwartier
Rotterdam Centrum,3003,Nieuwe Werk/Dijkzigt
Rotterdam Centrum,4000,Rotterdam Centrum
Rozenburg,4,Rozenburg
Rozenburg,4013,Rozenburg
Rotterdam,5000,Rotterdam
